Object ID,Total Distance,Displacement,Speed,Up Movements,Down Movements,Status,Line Data
53,48,30,0.8074774848505561,23,5,Motile,"[((1102, 937), (1102, 937)), ((1102, 937), (1102, 936)), ((1102, 936), (1102, 934)), ((1102, 934), (1103, 933)), ((1103, 933), (1105, 935)), ((1105, 935), (1105, 934)), ((1105, 934), (1106, 933)), ((1106, 933), (1106, 933)), ((1106, 933), (1106, 934)), ((1106, 934), (1107, 934)), ((1107, 934), (1106, 932)), ((1106, 932), (1105, 930)), ((1105, 930), (1105, 929)), ((1105, 929), (1106, 931)), ((1106, 931), (1106, 930)), ((1106, 930), (1105, 930)), ((1105, 930), (1106, 930)), ((1106, 930), (1107, 926)), ((1107, 926), (1107, 925)), ((1107, 925), (1108, 924)), ((1108, 924), (1106, 924)), ((1106, 924), (1106, 923)), ((1106, 923), (1107, 920)), ((1107, 920), (1107, 920)), ((1107, 920), (1109, 917)), ((1109, 917), (1109, 917)), ((1109, 917), (1109, 915)), ((1109, 915), (1109, 914)), ((1109, 914), (1113, 912)), ((1113, 912), (1113, 913)), ((1113, 913), (1113, 910)), ((1113, 910), (1114, 910))]"
54,73,37,1.229702794723633,26,8,Motile,"[((1093, 977), (1094, 974)), ((1094, 974), (1096, 974)), ((1096, 974), (1097, 975)), ((1097, 975), (1098, 977)), ((1098, 977), (1098, 976)), ((1098, 976), (1099, 974)), ((1099, 974), (1098, 973)), ((1098, 973), (1099, 972)), ((1099, 972), (1099, 970)), ((1099, 970), (1099, 974)), ((1099, 974), (1099, 976)), ((1099, 976), (1099, 975)), ((1099, 975), (1100, 976)), ((1100, 976), (1099, 976)), ((1099, 976), (1099, 973)), ((1099, 973), (1099, 972)), ((1099, 972), (1099, 972)), ((1099, 972), (1100, 970)), ((1100, 970), (1101, 968)), ((1101, 968), (1101, 968)), ((1101, 968), (1100, 968)), ((1100, 968), (1100, 967)), ((1100, 967), (1100, 966)), ((1100, 966), (1100, 966)), ((1100, 966), (1100, 966)), ((1100, 966), (1101, 971)), ((1101, 971), (1101, 971)), ((1101, 971), (1102, 956)), ((1102, 956), (1102, 955)), ((1102, 955), (1102, 955)), ((1102, 955), (1102, 955)), ((1102, 955), (1104, 951)), ((1104, 951), (1104, 950)), ((1104, 950), (1104, 950)), ((1104, 950), (1104, 947)), ((1104, 947), (1105, 945)), ((1105, 945), (1105, 944)), ((1105, 944), (1105, 943)), ((1105, 943), (1106, 942)), ((1106, 942), (1106, 941))]"
56,25,105,0.41958826098065194,0,6,Motile,"[((1101, 1709), (1102, 1711)), ((1102, 1711), (1098, 1725)), ((1098, 1725), (1098, 1727)), ((1096, 1808), (1096, 1810)), ((1096, 1810), (1094, 1811)), ((1094, 1811), (1094, 1814))]"
57,53,16,0.8945977648986836,15,7,Motile,"[((1099, 1626), (1099, 1624)), ((1099, 1624), (1099, 1621)), ((1099, 1621), (1099, 1620)), ((1099, 1620), (1099, 1618)), ((1099, 1618), (1096, 1615)), ((1096, 1615), (1096, 1613)), ((1096, 1613), (1097, 1616)), ((1097, 1616), (1096, 1619)), ((1096, 1619), (1097, 1619)), ((1097, 1619), (1100, 1624)), ((1100, 1624), (1100, 1626)), ((1100, 1626), (1099, 1628)), ((1099, 1628), (1101, 1626)), ((1101, 1626), (1101, 1624)), ((1101, 1624), (1101, 1625)), ((1101, 1625), (1100, 1624)), ((1100, 1624), (1101, 1624)), ((1101, 1624), (1100, 1624)), ((1100, 1624), (1099, 1623)), ((1099, 1623), (1099, 1623)), ((1099, 1623), (1099, 1621)), ((1099, 1621), (1099, 1619)), ((1099, 1619), (1099, 1618)), ((1099, 1618), (1099, 1610)), ((1099, 1610), (1099, 1610))]"
65,63,26,1.0600644457231416,4,5,Motile,"[((1093, 1047), (1094, 1047)), ((1094, 1047), (1094, 1079)), ((1094, 1079), (1094, 1081)), ((1094, 1081), (1089, 1083)), ((1089, 1083), (1088, 1083)), ((1088, 1083), (1090, 1070)), ((1090, 1070), (1090, 1069)), ((1090, 1069), (1090, 1070)), ((1090, 1070), (1090, 1068)), ((1090, 1068), (1090, 1068)), ((1090, 1068), (1090, 1073)), ((1090, 1073), (1090, 1073))]"
83,63,20,1.06305574682876,21,7,Motile,"[((1093, 1820), (1093, 1819)), ((1093, 1819), (1094, 1818)), ((1094, 1818), (1093, 1817)), ((1093, 1817), (1094, 1819)), ((1094, 1819), (1094, 1816)), ((1094, 1816), (1094, 1816)), ((1094, 1816), (1094, 1814)), ((1094, 1814), (1094, 1810)), ((1094, 1810), (1094, 1812)), ((1094, 1812), (1094, 1812)), ((1094, 1812), (1094, 1811)), ((1094, 1811), (1094, 1813)), ((1094, 1813), (1096, 1810)), ((1096, 1810), (1096, 1809)), ((1096, 1809), (1095, 1811)), ((1095, 1811), (1096, 1809)), ((1096, 1809), (1095, 1807)), ((1095, 1807), (1095, 1806)), ((1095, 1806), (1095, 1810)), ((1095, 1810), (1094, 1809)), ((1094, 1809), (1094, 1808)), ((1094, 1808), (1097, 1803)), ((1097, 1803), (1097, 1803)), ((1097, 1803), (1097, 1800)), ((1097, 1800), (1097, 1796)), ((1097, 1796), (1097, 1795)), ((1097, 1795), (1097, 1797)), ((1097, 1797), (1097, 1796)), ((1097, 1796), (1096, 1803)), ((1096, 1803), (1096, 1803)), ((1096, 1803), (1097, 1800)), ((1097, 1800), (1097, 1799))]"
84,72,35,1.2092828254783838,14,8,Motile,"[((1100, 1655), (1101, 1656)), ((1101, 1656), (1101, 1657)), ((1101, 1657), (1102, 1650)), ((1102, 1650), (1101, 1647)), ((1101, 1647), (1101, 1647)), ((1101, 1647), (1102, 1648)), ((1102, 1648), (1103, 1648)), ((1103, 1648), (1102, 1650)), ((1102, 1650), (1102, 1649)), ((1102, 1649), (1102, 1649)), ((1102, 1649), (1103, 1645)), ((1103, 1645), (1103, 1644)), ((1103, 1644), (1101, 1640)), ((1101, 1640), (1101, 1639)), ((1101, 1639), (1098, 1643)), ((1098, 1643), (1098, 1643)), ((1098, 1643), (1100, 1631)), ((1100, 1631), (1099, 1625)), ((1099, 1625), (1099, 1624)), ((1099, 1624), (1099, 1616)), ((1099, 1616), (1099, 1614)), ((1099, 1614), (1100, 1616)), ((1100, 1616), (1100, 1614)), ((1100, 1614), (1101, 1616)), ((1101, 1616), (1101, 1615)), ((1101, 1615), (1101, 1620)), ((1101, 1620), (1101, 1620))]"
87,65,2,1.086214985757624,13,10,Motile,"[((1094, 1901), (1094, 1897)), ((1094, 1897), (1094, 1896)), ((1094, 1896), (1094, 1905)), ((1094, 1905), (1094, 1906)), ((1094, 1906), (1094, 1911)), ((1094, 1911), (1093, 1910)), ((1093, 1910), (1094, 1914)), ((1094, 1914), (1094, 1911)), ((1094, 1911), (1093, 1911)), ((1093, 1911), (1094, 1910)), ((1094, 1910), (1093, 1908)), ((1093, 1908), (1094, 1908)), ((1094, 1908), (1093, 1904)), ((1093, 1904), (1093, 1906)), ((1093, 1906), (1093, 1906)), ((1093, 1906), (1092, 1894)), ((1092, 1894), (1092, 1893)), ((1092, 1893), (1092, 1894)), ((1092, 1894), (1092, 1893)), ((1092, 1893), (1092, 1893)), ((1092, 1893), (1092, 1894)), ((1092, 1894), (1092, 1893)), ((1092, 1893), (1091, 1902)), ((1091, 1902), (1091, 1903))]"
95,60,36,1.0035305000610915,25,8,Motile,"[((1083, 1431), (1083, 1432)), ((1083, 1432), (1083, 1431)), ((1083, 1431), (1083, 1433)), ((1083, 1433), (1083, 1434)), ((1083, 1434), (1083, 1434)), ((1083, 1434), (1083, 1432)), ((1083, 1432), (1083, 1433)), ((1083, 1433), (1083, 1433)), ((1083, 1433), (1083, 1431)), ((1083, 1431), (1082, 1430)), ((1082, 1430), (1082, 1429)), ((1082, 1429), (1083, 1429)), ((1083, 1429), (1084, 1429)), ((1084, 1429), (1084, 1429)), ((1084, 1429), (1084, 1425)), ((1084, 1425), (1086, 1424)), ((1086, 1424), (1086, 1424)), ((1086, 1424), (1084, 1425)), ((1084, 1425), (1085, 1424)), ((1085, 1424), (1085, 1423)), ((1085, 1423), (1085, 1423)), ((1085, 1423), (1085, 1421)), ((1085, 1421), (1085, 1420)), ((1085, 1420), (1086, 1418)), ((1086, 1418), (1086, 1420)), ((1086, 1420), (1086, 1419)), ((1086, 1419), (1087, 1415)), ((1087, 1415), (1088, 1414)), ((1088, 1414), (1085, 1407)), ((1085, 1407), (1084, 1406)), ((1084, 1406), (1085, 1407)), ((1085, 1407), (1085, 1406)), ((1085, 1406), (1085, 1404)), ((1085, 1404), (1085, 1403)), ((1085, 1403), (1084, 1397)), ((1084, 1397), (1085, 1396)), ((1085, 1396), (1085, 1395))]"
97,58,37,0.9703216703190828,12,5,Motile,"[((1101, 1708), (1100, 1702)), ((1100, 1702), (1100, 1700)), ((1100, 1700), (1101, 1701)), ((1101, 1701), (1101, 1701)), ((1101, 1701), (1101, 1700)), ((1101, 1700), (1100, 1687)), ((1100, 1687), (1100, 1687)), ((1100, 1687), (1100, 1691)), ((1100, 1691), (1101, 1687)), ((1101, 1687), (1101, 1686)), ((1101, 1686), (1100, 1687)), ((1100, 1687), (1102, 1685)), ((1102, 1685), (1102, 1684)), ((1102, 1684), (1102, 1687)), ((1102, 1687), (1103, 1686)), ((1103, 1686), (1101, 1684)), ((1101, 1684), (1103, 1679)), ((1103, 1679), (1103, 1671))]"
98,57,35,0.9581520585703435,29,7,Motile,"[((1083, 1431), (1083, 1432)), ((1083, 1432), (1083, 1433)), ((1083, 1433), (1083, 1433)), ((1083, 1433), (1083, 1433)), ((1083, 1433), (1083, 1432)), ((1083, 1432), (1083, 1431)), ((1083, 1431), (1083, 1432)), ((1083, 1432), (1083, 1431)), ((1083, 1431), (1083, 1430)), ((1083, 1430), (1082, 1430)), ((1082, 1430), (1082, 1428)), ((1082, 1428), (1083, 1429)), ((1083, 1429), (1084, 1429)), ((1084, 1429), (1082, 1428)), ((1082, 1428), (1082, 1428)), ((1082, 1428), (1085, 1425)), ((1085, 1425), (1086, 1424)), ((1086, 1424), (1085, 1427)), ((1085, 1427), (1085, 1427)), ((1085, 1427), (1085, 1426)), ((1085, 1426), (1085, 1425)), ((1085, 1425), (1085, 1424)), ((1085, 1424), (1085, 1423)), ((1085, 1423), (1085, 1421)), ((1085, 1421), (1085, 1420)), ((1085, 1420), (1086, 1418)), ((1086, 1418), (1086, 1418)), ((1086, 1418), (1086, 1416)), ((1086, 1416), (1086, 1415)), ((1086, 1415), (1086, 1414)), ((1086, 1414), (1086, 1406)), ((1086, 1406), (1084, 1406)), ((1084, 1406), (1085, 1406)), ((1085, 1406), (1085, 1406)), ((1085, 1406), (1085, 1403)), ((1085, 1403), (1085, 1403)), ((1085, 1403), (1085, 1402)), ((1085, 1402), (1084, 1397)), ((1084, 1397), (1085, 1397)), ((1085, 1397), (1085, 1396))]"
99,36,17,0.6157599748267482,4,10,Motile,"[((1100, 1636), (1099, 1637)), ((1099, 1637), (1099, 1643)), ((1099, 1643), (1099, 1644)), ((1099, 1644), (1096, 1644)), ((1096, 1644), (1096, 1644)), ((1096, 1644), (1101, 1646)), ((1101, 1646), (1102, 1646)), ((1102, 1646), (1100, 1644)), ((1100, 1644), (1100, 1644)), ((1100, 1644), (1101, 1650)), ((1101, 1650), (1101, 1653)), ((1101, 1653), (1101, 1654)), ((1101, 1654), (1102, 1653)), ((1102, 1653), (1102, 1653)), ((1102, 1653), (1102, 1653)), ((1102, 1653), (1099, 1653)), ((1099, 1653), (1100, 1653))]"
100,24,11,0.41491691673107484,13,5,Motile,"[((1099, 1692), (1099, 1693)), ((1099, 1693), (1100, 1694)), ((1100, 1694), (1100, 1694)), ((1100, 1694), (1098, 1692)), ((1098, 1692), (1099, 1691)), ((1099, 1691), (1099, 1691)), ((1099, 1691), (1099, 1691)), ((1099, 1691), (1099, 1691)), ((1099, 1691), (1099, 1690)), ((1099, 1690), (1101, 1686)), ((1101, 1686), (1100, 1685)), ((1100, 1685), (1101, 1684)), ((1101, 1684), (1101, 1683)), ((1101, 1683), (1101, 1684)), ((1101, 1684), (1100, 1683)), ((1100, 1683), (1101, 1682)), ((1101, 1682), (1100, 1683)), ((1100, 1683), (1100, 1682)), ((1100, 1682), (1099, 1684)), ((1099, 1684), (1099, 1683)), ((1099, 1683), (1100, 1681)), ((1100, 1681), (1100, 1681))]"
116,55,148,0.9255188145691545,4,0,Motile,"[((1154, 279), (1154, 276)), ((1154, 276), (1154, 231)), ((1154, 231), (1154, 227)), ((1165, 134), (1166, 130))]"
136,96,73,1.6165130367415388,15,7,Motile,"[((1099, 1739), (1098, 1734)), ((1098, 1734), (1099, 1731)), ((1099, 1731), (1099, 1728)), ((1099, 1728), (1099, 1729)), ((1099, 1729), (1100, 1730)), ((1100, 1730), (1100, 1728)), ((1100, 1728), (1099, 1720)), ((1099, 1720), (1100, 1721)), ((1100, 1721), (1100, 1723)), ((1100, 1723), (1100, 1727)), ((1100, 1727), (1100, 1726)), ((1100, 1726), (1100, 1691)), ((1100, 1691), (1100, 1691)), ((1100, 1691), (1100, 1689)), ((1100, 1689), (1099, 1690)), ((1099, 1690), (1100, 1691)), ((1100, 1691), (1101, 1689)), ((1101, 1689), (1102, 1687)), ((1102, 1687), (1102, 1686)), ((1102, 1686), (1104, 1671)), ((1104, 1671), (1104, 1670)), ((1104, 1670), (1102, 1668)), ((1102, 1668), (1102, 1666))]"
137,80,24,1.341460695567019,25,10,Motile,"[((1165, 145), (1165, 145)), ((1165, 145), (1165, 145)), ((1165, 145), (1167, 151)), ((1167, 151), (1166, 148)), ((1166, 148), (1166, 145)), ((1166, 145), (1166, 145)), ((1166, 145), (1165, 143)), ((1165, 143), (1164, 143)), ((1164, 143), (1165, 143)), ((1165, 143), (1166, 141)), ((1166, 141), (1167, 139)), ((1167, 139), (1166, 139)), ((1166, 139), (1166, 137)), ((1166, 137), (1165, 138)), ((1165, 138), (1165, 137)), ((1165, 137), (1164, 138)), ((1164, 138), (1164, 135)), ((1164, 135), (1163, 138)), ((1163, 138), (1161, 134)), ((1161, 134), (1161, 134)), ((1161, 134), (1161, 129)), ((1161, 129), (1162, 123)), ((1162, 123), (1162, 129)), ((1162, 129), (1162, 132)), ((1162, 132), (1162, 133)), ((1162, 133), (1162, 132)), ((1162, 132), (1161, 131)), ((1161, 131), (1161, 130)), ((1161, 130), (1164, 128)), ((1164, 128), (1164, 128)), ((1164, 128), (1164, 126)), ((1164, 126), (1164, 126)), ((1164, 126), (1165, 128)), ((1165, 128), (1165, 127)), ((1165, 127), (1165, 127)), ((1165, 127), (1164, 124)), ((1164, 124), (1164, 123)), ((1164, 123), (1165, 124)), ((1165, 124), (1166, 123)), ((1166, 123), (1166, 121)), ((1166, 121), (1166, 121)), ((1166, 121), (1166, 122)), ((1166, 122), (1167, 121))]"
138,62,16,1.0441939627897456,9,4,Motile,"[((1159, 211), (1161, 210)), ((1161, 210), (1161, 211)), ((1161, 211), (1161, 210)), ((1161, 210), (1161, 192)), ((1161, 192), (1162, 188)), ((1162, 188), (1159, 185)), ((1159, 185), (1159, 185)), ((1159, 185), (1158, 185)), ((1158, 185), (1158, 184)), ((1158, 184), (1158, 185)), ((1158, 185), (1158, 184)), ((1158, 184), (1158, 176)), ((1158, 176), (1158, 175)), ((1158, 175), (1162, 194)), ((1162, 194), (1163, 195))]"
153,42,27,0.7145083148040476,13,4,Motile,"[((1154, 286), (1153, 285)), ((1153, 285), (1154, 285)), ((1154, 285), (1154, 279)), ((1154, 279), (1154, 280)), ((1154, 280), (1154, 279)), ((1154, 279), (1154, 281)), ((1154, 281), (1153, 283)), ((1153, 283), (1153, 282)), ((1153, 282), (1152, 282)), ((1152, 282), (1152, 282)), ((1152, 282), (1151, 282)), ((1151, 282), (1151, 280)), ((1151, 280), (1151, 275)), ((1151, 275), (1151, 271)), ((1151, 271), (1151, 269)), ((1151, 269), (1151, 268)), ((1151, 268), (1151, 260)), ((1151, 260), (1152, 260)), ((1152, 260), (1152, 259)), ((1152, 259), (1154, 259)), ((1154, 259), (1154, 259))]"
156,37,23,0.6260709172005579,9,3,Motile,"[((1099, 1761), (1095, 1757)), ((1095, 1757), (1098, 1755)), ((1098, 1755), (1099, 1757)), ((1099, 1757), (1099, 1756)), ((1099, 1756), (1099, 1754)), ((1099, 1754), (1100, 1752)), ((1100, 1752), (1100, 1753)), ((1100, 1753), (1100, 1755)), ((1100, 1755), (1100, 1755)), ((1100, 1755), (1099, 1752)), ((1099, 1752), (1099, 1752)), ((1099, 1752), (1098, 1738)), ((1098, 1738), (1098, 1737))]"
171,53,121,0.8836392018290782,7,0,Motile,"[((1100, 1702), (1101, 1702)), ((1101, 1702), (1101, 1701)), ((1101, 1701), (1101, 1698)), ((1101, 1698), (1101, 1697)), ((1101, 1697), (1100, 1695)), ((1100, 1695), (1101, 1693)), ((1101, 1693), (1098, 1653)), ((1098, 1653), (1098, 1650))]"
187,6,5,0.10150283239582457,1,0,Motile,"[((1150, 566), (1149, 560)), ((1149, 560), (1149, 560))]"
189,17,10,0.2884708622101205,2,1,Motile,"[((1150, 566), (1151, 569)), ((1151, 569), (1150, 556)), ((1150, 556), (1151, 555))]"
193,5,5,0.08468564716806984,0,2,Motile,"[((1094, 1820), (1094, 1824)), ((1094, 1824), (1094, 1825))]"
199,3,1,0.06523689270621826,1,1,Motile,"[((1098, 1634), (1098, 1636)), ((1098, 1636), (1099, 1635)), ((1099, 1635), (1100, 1635))]"
203,50,30,0.8339826141431015,5,4,Motile,"[((1099, 1659), (1101, 1662)), ((1101, 1662), (1101, 1663)), ((1101, 1663), (1100, 1644)), ((1100, 1644), (1099, 1647)), ((1099, 1647), (1099, 1647)), ((1099, 1647), (1099, 1632)), ((1099, 1632), (1101, 1631)), ((1101, 1631), (1102, 1629)), ((1102, 1629), (1102, 1630)), ((1102, 1630), (1104, 1630)), ((1104, 1630), (1104, 1628))]"
205,49,23,0.8209491345848237,18,7,Motile,"[((1099, 1709), (1101, 1708)), ((1101, 1708), (1101, 1707)), ((1101, 1707), (1101, 1703)), ((1101, 1703), (1102, 1701)), ((1102, 1701), (1102, 1700)), ((1102, 1700), (1102, 1701)), ((1102, 1701), (1100, 1698)), ((1100, 1698), (1100, 1701)), ((1100, 1701), (1100, 1700)), ((1100, 1700), (1101, 1701)), ((1101, 1701), (1101, 1702)), ((1101, 1702), (1101, 1702)), ((1101, 1702), (1101, 1703)), ((1101, 1703), (1101, 1703)), ((1101, 1703), (1100, 1703)), ((1100, 1703), (1100, 1702)), ((1100, 1702), (1099, 1701)), ((1099, 1701), (1100, 1701)), ((1100, 1701), (1100, 1700)), ((1100, 1700), (1100, 1700)), ((1100, 1700), (1099, 1696)), ((1099, 1696), (1099, 1698)), ((1099, 1698), (1099, 1697)), ((1099, 1697), (1102, 1690)), ((1102, 1690), (1102, 1691)), ((1102, 1691), (1102, 1691)), ((1102, 1691), (1102, 1686)), ((1102, 1686), (1102, 1685))]"
212,32,30,0.5396237114405379,15,0,Motile,"[((1082, 1321), (1082, 1320)), ((1082, 1320), (1083, 1320)), ((1083, 1320), (1083, 1317)), ((1083, 1317), (1084, 1316)), ((1084, 1316), (1083, 1316)), ((1083, 1316), (1084, 1316)), ((1084, 1316), (1086, 1312)), ((1086, 1312), (1086, 1312)), ((1086, 1312), (1085, 1309)), ((1085, 1309), (1085, 1309)), ((1085, 1309), (1084, 1306)), ((1084, 1306), (1084, 1305)), ((1084, 1305), (1084, 1304)), ((1084, 1304), (1085, 1299)), ((1085, 1299), (1085, 1295)), ((1085, 1295), (1085, 1295)), ((1085, 1295), (1085, 1292)), ((1085, 1292), (1085, 1291))]"
213,32,30,0.5467867021646221,15,0,Motile,"[((1082, 1321), (1082, 1320)), ((1082, 1320), (1083, 1320)), ((1083, 1320), (1083, 1317)), ((1083, 1317), (1084, 1316)), ((1084, 1316), (1083, 1316)), ((1083, 1316), (1084, 1316)), ((1084, 1316), (1086, 1312)), ((1086, 1312), (1086, 1312)), ((1086, 1312), (1085, 1309)), ((1085, 1309), (1085, 1309)), ((1085, 1309), (1084, 1306)), ((1084, 1306), (1084, 1305)), ((1084, 1305), (1084, 1304)), ((1084, 1304), (1086, 1299)), ((1086, 1299), (1085, 1295)), ((1085, 1295), (1085, 1294)), ((1085, 1294), (1085, 1293)), ((1085, 1293), (1085, 1291))]"
225,5,81,0.0838707925187165,0,3,Motile,"[((1123, 810), (1122, 811)), ((1122, 811), (1123, 812)), ((1113, 889), (1113, 891))]"
227,41,41,0.6886760011023741,3,0,Motile,"[((1093, 1578), (1092, 1575)), ((1092, 1575), (1088, 1539)), ((1088, 1539), (1088, 1537))]"
248,13,12,0.22018807738031398,0,3,Motile,"[((1169, 103), (1169, 104)), ((1169, 104), (1176, 112)), ((1176, 112), (1177, 113))]"
275,30,29,0.5031820943015117,10,0,Motile,"[((1100, 1683), (1099, 1682)), ((1099, 1682), (1099, 1680)), ((1099, 1680), (1099, 1678)), ((1099, 1678), (1099, 1678)), ((1099, 1678), (1099, 1678)), ((1099, 1678), (1099, 1677)), ((1099, 1677), (1099, 1677)), ((1099, 1677), (1101, 1665)), ((1101, 1665), (1101, 1664)), ((1101, 1664), (1101, 1662)), ((1101, 1662), (1101, 1661)), ((1101, 1661), (1103, 1655)), ((1103, 1655), (1103, 1654))]"
288,0,0,0.011785113019775794,1,0,Not Moving,"[((1084, 2042), (1083, 2041))]"
296,30,19,0.5142337016828481,7,1,Motile,"[((1171, 60), (1171, 58)), ((1171, 58), (1173, 61)), ((1173, 61), (1173, 61)), ((1173, 61), (1169, 55)), ((1169, 55), (1169, 52)), ((1169, 52), (1169, 51)), ((1169, 51), (1178, 42)), ((1178, 42), (1179, 41))]"
317,1,1,0.016666666666666666,1,0,Not Moving,"[((568, 3), (568, 2))]"
318,1,1,0.016666666666666666,1,0,Not Moving,"[((568, 3), (568, 2))]"
334,1,1,0.03041901283227404,0,2,Not Moving,"[((1122, 804), (1122, 804)), ((1122, 804), (1121, 804)), ((1121, 804), (1121, 805))]"
359,37,27,0.6184398837034764,10,3,Motile,"[((1097, 1610), (1098, 1606)), ((1098, 1606), (1098, 1605)), ((1098, 1605), (1098, 1602)), ((1098, 1602), (1098, 1601)), ((1098, 1601), (1098, 1603)), ((1098, 1603), (1098, 1603)), ((1098, 1603), (1098, 1601)), ((1098, 1601), (1098, 1601)), ((1098, 1601), (1098, 1600)), ((1098, 1600), (1097, 1601)), ((1097, 1601), (1097, 1602)), ((1097, 1602), (1097, 1602)), ((1097, 1602), (1098, 1598)), ((1098, 1598), (1098, 1597)), ((1098, 1597), (1098, 1584)), ((1098, 1584), (1098, 1583))]"
363,4,4,0.06666666666666667,1,0,Motile,"[((1146, 539), (1146, 535))]"
365,4,4,0.06666666666666667,1,0,Motile,"[((1146, 539), (1146, 535))]"
387,32,21,0.5425474366670963,8,3,Motile,"[((1096, 1816), (1095, 1815)), ((1095, 1815), (1096, 1816)), ((1096, 1816), (1096, 1816)), ((1096, 1816), (1096, 1809)), ((1096, 1809), (1096, 1812)), ((1096, 1812), (1096, 1811)), ((1096, 1811), (1095, 1808)), ((1095, 1808), (1096, 1808)), ((1096, 1808), (1096, 1807)), ((1096, 1807), (1097, 1796)), ((1097, 1796), (1097, 1794))]"
388,53,35,0.8900197533306865,14,3,Motile,"[((1093, 1884), (1093, 1882)), ((1093, 1882), (1093, 1889)), ((1093, 1889), (1093, 1887)), ((1093, 1887), (1093, 1888)), ((1093, 1888), (1093, 1888)), ((1093, 1888), (1094, 1886)), ((1094, 1886), (1094, 1882)), ((1094, 1882), (1093, 1880)), ((1093, 1880), (1093, 1877)), ((1093, 1877), (1094, 1877)), ((1094, 1877), (1094, 1871)), ((1094, 1871), (1093, 1861)), ((1093, 1861), (1094, 1859)), ((1094, 1859), (1094, 1857)), ((1094, 1857), (1094, 1854)), ((1094, 1854), (1097, 1851)), ((1097, 1851), (1097, 1849))]"
399,17,15,0.2935803882633577,4,1,Motile,"[((1148, 498), (1148, 499)), ((1148, 499), (1148, 492)), ((1148, 492), (1148, 491)), ((1148, 491), (1142, 486)), ((1142, 486), (1141, 485))]"
403,17,15,0.29731550305021165,4,1,Motile,"[((1148, 498), (1148, 499)), ((1148, 499), (1148, 494)), ((1148, 494), (1148, 493)), ((1148, 493), (1141, 486)), ((1141, 486), (1140, 485))]"
410,2,2,0.03333333333333333,1,0,Not Moving,"[((1137, 710), (1137, 708))]"
423,17,4,0.29416418320138715,5,1,Motile,"[((1146, 419), (1146, 416)), ((1146, 416), (1146, 415)), ((1146, 415), (1147, 414)), ((1147, 414), (1147, 408)), ((1147, 408), (1146, 415)), ((1146, 415), (1146, 414))]"
454,1,1,0.025,1,0,Not Moving,"[((1146, 411), (1146, 410))]"
460,3,1,0.050164706981975705,2,1,Motile,"[((1082, 2042), (1082, 2042)), ((1082, 2042), (1081, 2041)), ((1081, 2041), (1082, 2040))]"
473,10,5,0.1688331812956193,3,2,Motile,"[((1166, 89), (1167, 86)), ((1167, 86), (1169, 87)), ((1169, 87), (1169, 88)), ((1169, 88), (1169, 87)), ((1169, 87), (1169, 87)), ((1169, 87), (1168, 83))]"
501,2,2,0.043633899812498246,3,0,Not Moving,"[((1105, 944), (1105, 943)), ((1105, 943), (1105, 942)), ((1105, 942), (1106, 941))]"
512,0,0,0.008333333333333333,0,1,Not Moving,"[((1084, 2035), (1084, 2036))]"
519,2,2,0.041666666666666664,1,0,Not Moving,"[((1115, 851), (1115, 849))]"
523,2,2,0.03333333333333333,1,0,Not Moving,"[((1116, 852), (1116, 850))]"
529,0,0,0.0,0,0,Not Moving,[]
